Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Barra da Tijuca;4;2;2;140;4900.0;1350.0;830.0;35.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;104;3000.0;1875.0;560.0;28.85;Apartamento
Apartamento;Flamengo;3;2;0;240;5500.0;1600.0;550.0;22.92;Apartamento
Apartamento;Flamengo;4;0;0;150;4000.0;1240.0;212.0;26.67;Apartamento
Apartamento;Copacabana;3;0;2;145;4000.0;950.0;0.0;27.59;Apartamento
Apartamento;Leblon;3;2;1;195;6400.0;1870.0;460.0;32.82;Apartamento
Apartamento;Ipanema;1;0;0;50;3800.0;450.0;30.0;76.0;Apartamento
Apartamento;Leblon;3;1;2;107;6500.0;1240.0;425.0;60.75;Apartamento
Apartamento;Ipanema;3;1;2;174;8500.0;2400.0;6000.0;48.85;Apartamento
Apartamento;Botafogo;2;1;1;85;2700.0;1159.0;184.0;31.76;Apartamento
Apartamento;Leblon;2;2;1;94;6700.0;1200.0;320.0;71.28;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8500.0;2300.0;345.0;53.12;Apartamento
Apartamento;Botafogo;1;0;0;42;2200.0;400.0;58.0;52.38;Apartamento
Apartamento;Barra da Tijuca;1;1;0;52;3500.0;2715.0;0.0;67.31;Apartamento
Apartamento;Ipanema;2;1;1;130;4800.0;1300.0;389.0;36.92;Apartamento
Apartamento;Copacabana;3;0;1;140;7800.0;1300.0;198.0;55.71;Apartamento
Apartamento;Tijuca;3;1;1;140;1800.0;1147.0;0.0;12.86;Apartamento
Apartamento;Barra da Tijuca;3;1;0;80;1700.0;1031.0;2195.0;21.25;Apartamento
Apartamento;Barra da Tijuca;2;2;1;113;3000.0;1920.0;610.0;26.55;Apartamento
Apartamento;Tijuca;3;1;0;140;2300.0;680.0;114.0;16.43;Apartamento
Apartamento;Copacabana;2;0;0;70;2400.0;638.0;149.0;34.29;Apartamento
